date,symbol,open,high,low,close,volume,change,changePercent,vwap,changeOverTime,label,unadjustedVolume,adjClose
2021-10-08,META,331.51,333.4,328.71,330.05,15946110,-1.46,-0.44041,330.9175,0.21803151640402985,2021-10-08,15946110,330.05
2021-10-11,META,327.63,330.46,325.31,325.45,14708224,-2.18,-0.66538,327.2125,0.2010554673949143,2021-10-11,14708224,325.45
2021-10-12,META,323.03,324.38,317.37,323.77,31658700,0.74,0.22908,322.1375,0.1948555190611505,2021-10-12,31658700,323.77
2021-10-13,META,326.97,327.0,322.66,324.54,14761500,-2.43,-0.74319,325.2925,0.19769716204745902,2021-10-13,14761500,324.54
2021-10-14,META,328.36,330.52,327.1,328.53,14302200,0.175,0.05177244,328.6275,0.21242203934014814,2021-10-14,14302200,328.53
2021-10-15,META,328.68,329.07,322.51,324.76,21596400,-3.92,-1.19,326.255,0.19850906004354707,2021-10-15,21596400,324.76
2021-10-18,META,328.95,335.89,327.5,335.34,21585018,6.39,1.94,331.92,0.2375539727645124,2021-10-18,21585018,335.34
2021-10-19,META,339.65,342.46,337.28,339.99,18786316,0.345,0.1001,339.845,0.2547145440454661,2021-10-19,18786316,339.99
2021-10-20,META,343.45,343.98,339.45,340.78,13639500,-2.67,-0.77741,341.915,0.2576299959405097,2021-10-20,13639500,340.78
2021-10-21,META,340.28,342.31,337.8,341.88,16354423,1.61,0.4702,340.5675,0.2616894859209504,2021-10-21,16354423,341.88
2021-10-22,META,326.35,329.63,321.11,324.61,35224543,-1.74,-0.53317,325.425,0.19795549322803252,2021-10-22,35224543,324.61
